id,organization,country,postal_code,city,company_size,economic_sector
14809,Mobility Center GmbH,DE,04107,Leipzig,(3)11-25,Verkehr / Transport / Logistik
14725,MobilSpiel e.V.,DE,81379,München,(4)26-50,Bildung / Universität / FH / Schulen
15588,"Möckernkiez Genossenschaft für selbstverwaltetes, soziales und ökologisches Wohnen eG",DE,10963,Berlin,(2)3-10,Immobilien / Facility Management
14995,Mode & Sport Moreau GesmbH,AT,5710,Kaprun,(3)11-25,Handel / Konsum
14940,Moin Bio Backwaren GmbH,DE,25348,Glückstadt,(4)26-50,Handwerk
75629,mondo buchhandlung,DE,33602,Bielefeld,(1)1-2,Handel / Konsum
30038,Monika Riedl Christallmanufaktur,AT,5303,Thalgau,(2)3-10,Kunst / Kultur / Unterhaltung
14963,monomeer. Alles ohne Plastik,DE,78467,Konstanz,(1)1-2,Handel / Konsum
44182,Monteverde Cooperativa Sociale di Solidarietà – Onlus,IT,37030,Badia Calavena,(4)26-50,Gesundheitswesen / Soziales / Pflege
133262,Monteverde Cooperativa Sociale di Solidarietà – Onlus,IT,37030,Badia Calavena (VR),(4)26-50,Assistenza sanitaria / Servizi sociali / Infermieristica
74013,Müller & Mooseder Unternehmensberatung,DE,85221,Dachau,(1)1-2,Beratung / Consulting
14663,Müller Bau GmbH & Co KG,AT,6844,A-Altach,(4)26-50,Baugewerbe / Architektur
14736,MÜLLER Ofenbau Bertram u. Harald Müller GesnbR,AT,6713,Ludesch,(2)3-10,Handwerk
78430,müller ofenbau gmbh,AT,6713,Ludesch,(2)3-10,Handwerk
14864,"Müller, Horst",DE,81675,München,(1)1-2,Beratung / Consulting
33857,München kocht!,DE,80339,München,(1)1-2,Dienstleistung
30299,Münchner Aids- Hilfe e.V.,DE,80337,München,(4)26-50,Gesundheitswesen / Soziales / Pflege
46973,Münsterland gGmbH,DE,48565,Steinfurt,(3)11-25,Bildung / Universität / FH / Schulen
56536,Mutpol – Diakonische Jugendhilfe Tuttlingen,DE,78532,Tuttlingen,(7)>250,Gesundheitswesen / Soziales / Pflege
84899,MYCB1 Group B.V.,NL,1098,XG Amsterdam,(2)3-10,Medizin / Pharma
143254,myssion consulting gmbh,AT,1030,Wien,(2)3-10,Beratung / Consulting
36608,"N-Motion, Röhrle & Henle Partnerschaftsgesellschaft",DE,89073,Ulm,(1)1-2,Beratung / Consulting
14955,n.e.s.t. Bauprojektierung und Vermietung AG,DE,72070,Tübingen,(1)1-2,Baugewerbe / Architektur
14810,Nack Büroeinrichtungen GmbH,DE,22041,Hamburg,(2)3-10,Handel / Konsum
36813,Nagl-Pölzer Consulting,AT,2393,Sittendorf,(1)1-2,Beratung / Consulting
92399,Natura cultura y servicios ambientales S.L.,ES,46901,Torrent,(8) Todas las tallas,Otros
132141,Naturbackstube Kreis e.K.,DE,44229,Dortmund,(2)3-10,Handwerk
14993,naturblau+++ Die Werteagentur,DE,78359,Orsingen-Nenzingen,(2)3-10,Marketing / Werbung / PR
35302,nature and progress,DE,79585,Steinen Endenbzrg,,Beratung / Consulting
35652,Naturerlebniszentrum Allgäu,DE,87527,Sonthofen,(1)1-2,Bildung / Universität / FH / Schulen
44949,Naturgarten Schönegge Schönegge GmbH,DE,85405,Nandlstadt,(2)3-10,Nahrungsmittel / Land / Forstwirtschaft
92832,Naturkost Elkershausen GmbH,DE,37079,Göttingen,(6)101-250,Handel / Konsum
24848,Naturkost Nord Großhandelsgesellschaft mbH,DE,21218,Seevetal / Hittfeld,(5)51-100,Handel / Konsum
14979,Naturkost Querbeet,DE,34132,Kassel,(2)3-10,Handel / Konsum
14865,natürlich unverpackt,DE,48145,Münster,(1)1-2,Nahrungsmittel / Land / Forstwirtschaft
