id,organization,locations_id,employees_id,sectors_id
33071,Freiburg Institut,591,2.0,7.0
35657,Freilich Unverpackt – Stefanie Grömmer & Martin Kensy Gbr,719,2.0,38.0
14835,Frobenius-Foisner-Holzeis Steuerberatung GmbH,662,2.0,14.0
25018,Fugger Reisen KG d. Volgger Werner & Co.,901,2.0,39.0
14975,Führen mit… Urte Töpfer,226,1.0,7.0
92481,Fundació Institut Guttman,810,1.0,26.0
92499,Fundación Horta Sud,865,1.0,26.0
72941,Fundraiserperpassione srl sb,880,2.0,32.0
133266,Fundraiserperpassione srl sb,881,1.0,7.0
35678,Füssen Tourismus und Marketing,726,4.0,37.0
143130,Futour,314,1.0,37.0
87410,GAB Gesellschaft für Arbeits- und Berufsförderung gGmbH,380,4.0,16.0
36711,Gaby Belz GmbH,183,1.0,7.0
92385,GAE comunidades,844,\N,26.0
14994,Gandler Risk Management,87,3.0,18.0
33062,Gardion UG,588,2.0,9.0
41039,GartenLeben GmbH,767,2.0,25.0
44820,GÄRTNEREI LÖWENZAHN,709,1.0,25.0
14813,GBG – Mannheimer Wohnungsbaugesellschaft mbH,528,6.0,30.0
29166,Gebäudeservice Wodara GmbH,252,5.0,33.0
14863,Gebhard Moser,121,1.0,7.0
29892,GefAA TELECONSULT UG (haftungsbeschränkt),248,1.0,7.0
14904,Gemeinde Kirchanschöring,661,2.0,29.0
14928,Gemeinde Mäder,129,4.0,29.0
29889,Gemeinde Nenzing,120,5.0,29.0
30096,Gemeindeverband für Abfallwirtschaft und Umweltschutz – Umweltverband,132,2.0,29.0
78957,GEMEINHARDT SERVICE GmbH,201,4.0,6.0
82868,Gemeinschaft Sulzbrunn eG,717,2.0,26.0
45011,Gemeinschaft zur Förderung und Vernetzung der freien Künste Bochums e.V.,441,1.0,1.0
62156,Gemeinschaftskrankenhaus Havelhöhe,262,12.0,16.0
17841,Gemeinwohl-Ökonomie Berlin-Brandenburg e.V.,233,1.0,2.0
22119,Gemeinwohlagentur Rubatscher Dagmar,101,1.0,7.0
14930,"Gemüsekiste, Hartmann & Rönicke OHG",361,5.0,38.0
14654,Genusshandwerker,420,1.0,8.0
23246,GeoTeam Gesellschaft für umweltgerechte Land- und Wasserwirtschaft mbH,779,2.0,33.0
